,Date,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
148,2019-04-04,Siddhartha Bank Limited,100,307.00,301.00,304.00,26867.00,8190975.00,302.00,2.00 
149,2019-04-04,Siddhartha Equity Fund,3,9.20,9.20,9.20,1200.00,11040.00,9.20,0.00 
150,2019-04-04,Siddhartha Equity Orineted Scheme,4,9.80,9.70,9.71,8326.00,80826.84,9.89,-0.18 
151,2019-04-04,Siddhartha Insurance Ltd.,26,595.00,587.00,595.00,3043.00,1801741.00,598.00,-3.00 
152,2019-04-04,Sindhu Bikash Bank Ltd,15,142.00,133.00,142.00,3666.00,503213.00,135.00,7.00 
153,2019-04-04,Soaltee Hotel Limited,10,207.00,205.00,205.00,1770.00,365520.00,209.00,-4.00 
154,2019-04-04,Standard Chartered Bank Limited,81,580.00,569.00,574.00,4073.00,2344126.00,579.00,-5.00 
155,2019-04-04,Summit Micro Finance Development Bank Ltd.,4,612.00,608.00,608.00,138.00,84296.00,601.00,7.00 
156,2019-04-04,Sunrise Bank Limited,45,231.00,227.00,229.00,13360.00,3046019.00,229.00,0.00 
157,2019-04-04,Surya Life Insurance Company Limited,9,526.00,523.00,523.00,227.00,118964.00,526.00,-3.00 
158,2019-04-04,Suryodaya Laghubitta Bittiya Sanstha Ltd.,9,877.00,830.00,877.00,116.00,99738.00,839.00,38.00 
159,2019-04-04,Swabalamban Laghubitta Bittiya Sanstha Limited,4,820.00,815.00,815.00,161.00,131435.00,831.00,-16.00 
160,2019-04-04,Swadeshi Laghubitta Bittiya Sanstha Ltd.,27,545.00,525.00,540.00,222.00,118678.00,545.00,-5.00 
161,2019-04-04,Swarojgar Laghu Bitta Bikas Bank Ltd.,7,485.00,482.00,482.00,1101.00,531582.00,492.00,-10.00 
162,2019-04-04,Synergy Power Development Ltd.,19,104.00,100.00,102.00,2684.00,276701.00,101.00,1.00 
163,2019-04-04,Taragaon Regency Hotel Limited,1,252.00,252.00,252.00,10.00,2520.00,250.00,2.00 
164,2019-04-04,United Finance Ltd.,10,198.00,192.00,198.00,4880.00,959655.00,195.00,3.00 
165,2019-04-04,United Insurance Co. (Nepal) Ltd.,5,772.00,761.00,761.00,270.00,206660.00,750.00,11.00 
166,2019-04-04,United Modi Hydropower Ltd.,17,117.00,113.00,115.00,520.00,60112.00,115.00,0.00 
167,2019-04-04,UNIVERSAL POWER COMPANY LTD,9,114.00,108.00,108.00,1250.00,135120.00,119.00,-11.00 
168,2019-04-04,Unnati Micorfinance Bittiya Sanstha Ltd.,8,1144.00,1123.00,1144.00,80.00,90410.00,1144.00,0.00 
169,2019-04-04,Upper Tamakoshi Hydropower Ltd,641,238.00,235.00,237.00,45323.00,10707286.00,235.00,2.00 
170,2019-04-04,Vijaya laghubitta Bittiya Sanstha Ltd.,11,650.00,640.00,640.00,284.00,181925.00,645.00,-5.00 
171,2019-04-04,World Merchant Banking & Finance Ltd.,2,87.00,87.00,87.00,130.00,11310.00,88.00,-1.00 
